
OccupationCode|Skill
49-9051.00|Reading Comprehension
49-9098.00|Equipment Selection
49-9099.01|Repairing
51-2031.00|Equipment Maintenance
47-4099.03|Systems Analysis
47-5032.00|Social Perceptiveness
47-5071.00|Management of Financial Resources
49-3011.00|Troubleshooting
49-3042.00|Complex Problem Solving
49-3053.00|Systems Evaluation
45-4021.00|Quality Control Analysis
47-2011.00|Coordination
47-2082.00|Instructing
47-2142.00|Monitoring
47-2161.00|Writing
47-2181.00|Installation
41-3011.00|Operation and Control
43-3021.00|Operations Monitoring
43-5031.00|Negotiation
43-5061.00|Operations Analysis
43-6014.00|Service Orientation
45-2091.00|Judgment and Decision Making
39-1022.00|Critical Thinking
39-3021.00|Management of Material Resources
39-4011.00|Time Management
39-5094.00|Technology Design
39-9011.01|Persuasion
41-1012.00|Active Learning
31-9095.00|Operations Analysis
31-9099.01|Learning Strategies
33-1011.00|Service Orientation
33-9021.00|Management of Personnel Resources
35-3011.00|Mathematics
37-3011.00|Writing
29-1229.05|Active Learning
29-1291.00|Operation and Control
29-1299.02|Social Perceptiveness
29-2061.00|Troubleshooting
29-2099.01|Complex Problem Solving
31-9093.00|Science
29-1126.00|Critical Thinking
29-1129.01|Instructing
29-1131.00|Management of Material Resources
29-1151.00|Time Management
29-1216.00|Technology Design
29-1224.00|Persuasion
27-1013.00|Learning Strategies
27-2041.00|Management of Personnel Resources
27-3031.00|Active Listening
27-4014.00|Judgment and Decision Making
27-4021.00|Mathematics
29-1011.00|Quality Control Analysis
21-1014.00|Instructing
25-1053.00|Systems Analysis
25-1065.00|Social Perceptiveness
25-1081.00|Management of Financial Resources
25-2011.00|Troubleshooting
25-2032.00|Complex Problem Solving
19-1041.00|Negotiation
19-2031.00|Operations Analysis
19-2042.00|Service Orientation
19-3091.00|Judgment and Decision Making
19-4012.00|Quality Control Analysis
19-4043.00|Coordination
17-2072.00|Persuasion
17-2112.01|Active Learning
17-2141.01|Operation and Control
17-3012.00|Systems Evaluation
17-3024.00|Operations Monitoring
17-3027.01|Reading Comprehension
13-2072.00|Coordination
15-1254.00|Monitoring
15-1299.01|Writing
15-2041.00|Management of Material Resources
15-2099.01|Time Management
17-2041.00|Technology Design
13-1041.04|Science
13-1041.07|Operations Analysis
13-1074.00|Learning Strategies
13-1081.00|Service Orientation
13-2031.00|Management of Personnel Resources
13-2061.00|Active Listening
11-3051.06|Instructing
11-3131.00|Monitoring
11-9179.02|Judgment and Decision Making
11-9199.10|Quality Control Analysis
13-1031.00|Coordination
13-1121.00|Troubleshooting
51-9193.00|Science
53-3032.00|Judgment and Decision Making
53-7041.00|Troubleshooting
53-7064.00|Complex Problem Solving
53-7065.00|Writing
53-7121.00|Speaking
51-6041.00|Operations Analysis
51-6063.00|Service Orientation
51-8021.00|Operations Monitoring
51-8099.01|Reading Comprehension
51-9124.00|Instructing
51-9192.00|Monitoring
51-2051.00|Writing
51-3022.00|Critical Thinking
51-4021.00|Management of Material Resources
51-4034.00|Time Management
51-4122.00|Equipment Selection
51-5111.00|Negotiation
49-2098.00|Repairing
49-3041.00|Equipment Maintenance
49-9031.00|Technology Design
49-9052.00|Persuasion
49-9071.00|Active Learning
49-9096.00|Operation and Control
47-2081.00|Social Perceptiveness
47-2141.00|Management of Financial Resources
47-3012.00|Management of Personnel Resources
47-4011.00|Active Listening
47-5012.00|Mathematics
49-2092.00|Learning Strategies
43-9041.00|Management of Material Resources
43-9051.00|Troubleshooting
45-1011.00|Complex Problem Solving
45-2093.00|Speaking
47-2051.00|Systems Analysis
47-2073.00|Service Orientation
41-9022.00|Monitoring
43-4011.00|Persuasion
43-4071.00|Active Learning
43-4081.00|Judgment and Decision Making
43-4151.00|Operation and Control
43-5021.00|Coordination
39-2011.00|Management of Personnel Resources
39-3031.00|Active Listening
39-4021.00|Systems Evaluation
39-5092.00|Mathematics
41-2022.00|Learning Strategies
41-4011.00|Instructing
31-2021.00|Coordination
33-2011.00|Troubleshooting
33-3021.02|Complex Problem Solving
33-3052.00|Speaking
35-3041.00|Social Perceptiveness
37-1012.00|Management of Financial Resources
29-1215.00|Operations Monitoring
29-1223.00|Reading Comprehension
29-2011.00|Instructing
29-2031.00|Monitoring
29-9091.00|Judgment and Decision Making
31-1122.00|Quality Control Analysis
27-3091.00|Time Management
29-1021.00|Equipment Selection
29-1041.00|Negotiation
29-1122.01|Operations Analysis
29-1128.00|Service Orientation
29-1171.00|Systems Evaluation
25-1124.00|Learning Strategies
25-3041.00|Technology Design
25-4031.00|Persuasion
27-2012.04|Writing
27-2032.00|Critical Thinking
27-3023.00|Management of Material Resources
21-1013.00|Social Perceptiveness
23-1021.00|Management of Personnel Resources
25-1011.00|Active Listening
25-1042.00|Programming
25-1061.00|Mathematics
25-1111.00|Science
19-1013.00|Judgment and Decision Making
19-2012.00|Writing
19-2041.02|Critical Thinking
19-3011.00|Management of Material Resources
19-4099.01|Systems Analysis
21-1012.00|Service Orientation
17-2021.00|Mathematics
17-2111.02|Science
17-2131.00|Learning Strategies
17-2199.08|Equipment Maintenance
17-3024.01|Technology Design
19-1012.00|Active Learning
15-1212.00|Systems Analysis
15-1242.00|Social Perceptiveness
15-1253.00|Management of Financial Resources
15-1299.08|Management of Personnel Resources
15-2041.01|Active Listening
17-1011.00|Programming
11-1021.00|Operation and Control
11-3021.00|Troubleshooting
11-3051.02|Coordination
11-3051.03|Service Orientation
11-9013.00|Writing
11-9041.00|Active Learning
53-7041.00|Management of Personnel Resources
53-7051.00|Judgment and Decision Making
53-7071.00|Time Management
51-9195.05|Operations Monitoring
51-9196.00|Active Learning
53-3011.00|Active Listening
53-3031.00|Quality Control Analysis
53-5021.00|Systems Evaluation
53-5022.00|Persuasion
51-4192.00|Monitoring
51-6062.00|Equipment Selection
51-6063.00|Learning Strategies
51-8013.03|Instructing
51-9041.00|Science
51-9083.00|Coordination
49-3051.00|Active Listening
49-9061.00|Systems Evaluation
49-9091.00|Equipment Maintenance
51-1011.00|Management of Personnel Resources
51-4032.00|Repairing
51-4191.00|Systems Analysis
47-2132.00|Mathematics
47-3015.00|Reading Comprehension
47-3016.00|Operation and Control
47-5013.00|Programming
49-2091.00|Operations Monitoring
49-3043.00|Writing
41-3041.00|Service Orientation
41-9031.00|Writing
43-5051.00|Social Perceptiveness
43-9071.00|Negotiation
45-4023.00|Systems Analysis
47-2072.00|Equipment Selection
35-1012.00|Speaking
37-1011.00|Mathematics
39-3011.00|Complex Problem Solving
39-3012.00|Reading Comprehension
39-5092.00|Critical Thinking
41-2012.00|Troubleshooting
29-2051.00|Management of Financial Resources
29-9091.00|Operations Analysis
31-9091.00|Persuasion
31-9092.00|Social Perceptiveness
33-2021.00|Judgment and Decision Making
33-3031.00|Time Management
29-1023.00|Monitoring
29-1024.00|Management of Material Resources
29-1128.00|Learning Strategies
29-1213.00|Instructing
29-1222.00|Operation and Control
29-1299.01|Service Orientation
25-9031.00|Persuasion
27-1011.00|Equipment Maintenance
27-1025.00|Management of Personnel Resources
27-1026.00|Judgment and Decision Making
27-2012.05|Time Management
27-3043.05|Speaking
23-2011.00|Reading Comprehension
25-1043.00|Science
25-1062.00|Programming
25-1063.00|Coordination
25-1124.00|Active Learning
25-9021.00|Systems Evaluation
19-2011.00|Social Perceptiveness
19-3032.00|Negotiation
19-4013.00|Systems Analysis
19-4021.00|Monitoring
21-1012.00|Learning Strategies
21-1022.00|Mathematics
17-2199.10|Writing
17-2199.11|Active Listening
17-3022.00|Management of Financial Resources
19-1013.00|Operations Analysis
19-1021.00|Equipment Maintenance
19-1031.02|Management of Personnel Resources
15-2021.00|Reading Comprehension
17-2021.00|Critical Thinking
17-2031.00|Programming
17-2112.03|Troubleshooting
17-2121.00|Operations Monitoring
17-2161.00|Service Orientation
13-2052.00|Technology Design
13-2053.00|Systems Analysis
13-2082.00|Speaking
15-1241.00|Equipment Selection
15-1251.00|Management of Material Resources
15-2011.00|Complex Problem Solving
11-9179.01|Quality Control Analysis
13-1041.01|Persuasion
13-1041.03|Social Perceptiveness
13-1131.00|Judgment and Decision Making
13-1141.00|Negotiation
13-1199.05|Time Management
11-2021.00|Systems Evaluation
11-3021.00|Equipment Maintenance
11-3051.02|Equipment Selection
11-3111.00|Mathematics
11-3131.00|Social Perceptiveness
11-9041.01|Instructing
51-9192.00|Social Perceptiveness
53-1042.01|Complex Problem Solving
53-4013.00|Systems Analysis
53-6041.00|Troubleshooting
53-7071.00|Active Listening
51-7021.00|Negotiation
51-7032.00|Writing
51-8013.03|Management of Financial Resources
51-8093.00|Technology Design
51-9083.00|Equipment Selection
51-9162.00|Mathematics
49-9011.00|Instructing
49-9091.00|Troubleshooting
51-1011.00|Management of Material Resources
51-4061.00|Operations Analysis
51-4071.00|Critical Thinking
51-5113.00|Persuasion
47-3015.00|Technology Design
47-4041.00|Speaking
47-4061.00|Quality Control Analysis
49-2098.00|Complex Problem Solving
49-3021.00|Judgment and Decision Making
49-3051.00|Time Management
43-6012.00|Active Learning
43-6014.00|Learning Strategies
47-2031.00|Persuasion
47-2072.00|Coordination
47-2131.00|Management of Personnel Resources
47-2221.00|Management of Financial Resources
39-9031.00|Systems Evaluation
41-2012.00|Equipment Maintenance
41-9041.00|Time Management
43-3071.00|Operation and Control
43-4181.00|Service Orientation
43-5011.00|Management of Material Resources
33-1011.00|Learning Strategies
33-3031.00|Active Listening
33-9091.00|Reading Comprehension
35-3023.01|Coordination
37-3013.00|Operations Monitoring
39-9011.00|Monitoring
29-1241.00|Equipment Maintenance
29-2012.00|Mathematics
29-2031.00|Social Perceptiveness
29-2091.00|Repairing
31-1132.00|Systems Analysis
31-9099.01|Active Learning
27-4021.00|Critical Thinking
29-1122.01|Operations Monitoring
29-1141.02|Negotiation
29-1141.04|Writing
29-1213.00|Management of Financial Resources
29-1223.00|Monitoring
25-2012.00|Judgment and Decision Making
27-1011.00|Troubleshooting
27-1023.00|Service Orientation
27-1025.00|Management of Material Resources
27-2012.05|Active Listening
27-4014.00|Operations Analysis
21-1091.00|Writing
23-2011.00|Technology Design
25-1032.00|Speaking
25-1042.00|Quality Control Analysis
25-1072.00|Mathematics
25-1082.00|Social Perceptiveness
19-2042.00|Learning Strategies
19-3093.00|Critical Thinking
19-4051.02|Persuasion
19-4071.00|Science
21-1011.00|Coordination
21-1023.00|Negotiation
17-3022.00|Instructing
17-3027.00|Operation and Control
19-1021.00|Troubleshooting
19-1029.04|Service Orientation
19-1031.02|Management of Material Resources
19-2041.02|Active Learning
17-2071.00|Monitoring
17-2072.01|Systems Evaluation
17-2112.03|Equipment Maintenance
17-2171.00|Complex Problem Solving
17-2199.03|Judgment and Decision Making
17-2199.11|Time Management
15-1241.00|Coordination
15-1251.00|Management of Personnel Resources
15-1299.01|Installation
15-1299.03|Operations Monitoring
15-2021.00|Technology Design
17-1011.00|Quality Control Analysis
11-9199.10|Programming
13-1011.00|Systems Analysis
13-1074.00|Active Learning
13-1081.00|Learning Strategies
13-1199.05|Active Listening
13-2052.00|Reading Comprehension
11-2021.00|Speaking
11-3051.04|Monitoring
11-3051.06|Management of Material Resources
11-3121.00|Negotiation
11-9033.00|Time Management
11-9051.00|Learning Strategies
51-9197.00|Equipment Selection
51-9198.00|Learning Strategies
53-1043.00|Technology Design
53-4013.00|Operation and Control
53-6051.07|Coordination
53-7031.00|Complex Problem Solving
51-6091.00|Management of Personnel Resources
51-8011.00|Active Listening
51-8012.00|Quality Control Analysis
51-9023.00|Systems Evaluation
51-9123.00|Monitoring
51-9195.04|Time Management
49-9095.00|Coordination
51-2092.00|Operations Monitoring
51-3023.00|Instructing
51-4061.00|Science
51-6031.00|Equipment Maintenance
51-6061.00|Active Learning
49-2093.00|Equipment Selection
49-3041.00|Negotiation
49-3042.00|Repairing
49-9041.00|Operation and Control
49-9045.00|Systems Analysis
49-9094.00|Programming
47-2042.00|Operations Analysis
47-2043.00|Equipment Maintenance
47-2142.00|Social Perceptiveness
47-2171.00|Active Listening
47-4041.00|Systems Evaluation
49-2021.00|Installation
43-4131.00|Programming
43-5032.00|Mathematics
43-5053.00|Troubleshooting
43-5061.00|Operations Monitoring
43-9051.00|Reading Comprehension
43-9111.00|Writing
39-2011.00|Management of Financial Resources
39-9031.00|Speaking
41-4011.00|Management of Material Resources
41-9021.00|Negotiation
43-3061.00|Technology Design
43-3071.00|Systems Analysis
33-2011.00|Reading Comprehension
33-9031.00|Critical Thinking
35-2013.00|Operations Analysis
35-9021.00|Service Orientation
37-1012.00|Persuasion
37-2011.00|Social Perceptiveness
29-2011.00|Management of Material Resources
29-2052.00|Learning Strategies
29-2061.00|Technology Design
31-1132.00|Operation and Control
31-9011.00|Mathematics
31-9099.02|Coordination
29-1031.00|Persuasion
29-1126.00|Active Learning
29-1129.01|Management of Personnel Resources
29-1129.02|Judgment and Decision Making
29-1211.00|Quality Control Analysis
29-1299.02|Monitoring
27-1014.00|Coordination
27-1024.00|Complex Problem Solving
27-2021.00|Operations Monitoring
27-2041.00|Instructing
27-4014.00|Science
29-1022.00|Service Orientation
25-1032.00|Systems Evaluation
25-1065.00|Monitoring
25-1122.00|Time Management
25-1126.00|Learning Strategies
25-2032.00|Repairing
27-1013.00|Programming
19-3011.01|Reading Comprehension
19-3034.00|Writing
19-4071.00|Operations Analysis
19-4092.00|Equipment Maintenance
19-5012.00|Active Learning
21-1014.00|Management of Personnel Resources
17-2199.09|Repairing
17-3027.00|Systems Analysis
19-1023.00|Programming
19-1042.00|Mathematics
19-2031.00|Operations Monitoring
19-2041.03|Instructing
15-1299.02|Active Listening
15-1299.08|Management of Financial Resources
15-2031.00|Judgment and Decision Making
17-2072.01|Speaking
17-2141.00|Equipment Selection
17-2199.08|Negotiation
13-1121.00|Reading Comprehension
13-1161.00|Writing
13-2041.00|Critical Thinking
15-1243.01|Service Orientation
15-1253.00|Persuasion
15-1254.00|Social Perceptiveness
11-9121.00|Technology Design
11-9121.01|Systems Analysis
13-1041.00|Mathematics
13-1041.06|Troubleshooting
13-1075.00|Coordination
13-1111.00|Complex Problem Solving
11-1021.00|Systems Analysis
11-3051.01|Active Learning
11-3051.06|Management of Personnel Resources
11-9031.00|Operations Monitoring
11-9033.00|Active Listening
11-9121.00|Reading Comprehension
53-2012.00|Writing
53-6051.07|Equipment Selection
53-7062.00|Social Perceptiveness
53-7063.00|Negotiation
51-6091.00|Management of Material Resources
51-6093.00|Complex Problem Solving
51-9041.00|Operations Analysis
51-9191.00|Persuasion
51-9195.04|Active Listening
53-1043.00|Reading Comprehension
51-2031.00|Negotiation
51-3023.00|Management of Financial Resources
51-4022.00|Technology Design
51-4052.00|Quality Control Analysis
51-5112.00|Mathematics
51-6031.00|Troubleshooting
49-2093.00|Coordination
49-2095.00|Active Learning
49-3011.00|Management of Personnel Resources
49-9012.00|Critical Thinking
49-9061.00|Speaking
49-9081.00|Science
47-2121.00|Complex Problem Solving
47-2171.00|Time Management
47-2231.00|Learning Strategies
47-3012.00|Instructing
47-5043.00|Service Orientation
47-5071.00|Persuasion
43-4021.00|Speaking
43-5053.00|Equipment Maintenance
45-2041.00|Quality Control Analysis
45-4023.00|Operation and Control
47-2022.00|Systems Evaluation
47-2082.00|Management of Material Resources
39-2011.00|Instructing
41-2031.00|Coordination
41-3021.00|Active Learning
41-4011.00|Management of Personnel Resources
41-9091.00|Operations Monitoring
43-1011.00|Active Listening
31-1133.00|Monitoring
31-9099.02|Equipment Selection
33-3011.00|Social Perceptiveness
33-9092.00|Operation and Control
35-1012.00|Systems Evaluation
37-3012.00|Time Management
29-1122.00|Troubleshooting
29-1129.01|Management of Material Resources
29-1222.00|Systems Analysis
29-2034.00|Operations Monitoring
29-2061.00|Reading Comprehension
29-2092.00|Writing
27-1014.00|Equipment Selection
27-2012.00|Negotiation
27-2041.00|Management of Financial Resources
27-3011.00|Judgment and Decision Making
27-4031.00|Programming
29-1051.00|Mathematics
25-1081.00|Persuasion
25-1125.00|Coordination
25-2011.00|Reading Comprehension
25-2023.00|Writing
25-3021.00|Critical Thinking
25-9021.00|Speaking
19-4092.00|Troubleshooting
21-1014.00|Management of Material Resources
23-1011.00|Learning Strategies
23-2093.00|Systems Analysis
25-1043.00|Operations Analysis
25-1067.00|Service Orientation
19-2041.03|Management of Financial Resources
19-2099.01|Judgment and Decision Making
19-3011.01|Technology Design
19-3051.00|Quality Control Analysis
19-4013.00|Operation and Control
19-4051.00|Mathematics
17-2141.00|Coordination
17-2141.02|Active Learning
17-3011.00|Operations Monitoring
17-3023.00|Critical Thinking
19-1013.00|Science
19-1031.00|Monitoring
15-1232.00|Programming
15-1244.00|Complex Problem Solving
15-1299.02|Time Management
15-1299.08|Instructing
17-2061.00|Service Orientation
17-2081.00|Persuasion
11-9141.00|Writing
13-1021.00|Monitoring
13-1121.00|Technology Design
13-1151.00|Social Perceptiveness
13-1199.06|Quality Control Analysis
13-2082.00|Systems Evaluation
11-3061.00|Systems Evaluation
11-3071.00|Persuasion
11-3071.00|Complex Problem Solving
11-3071.04|Reading Comprehension
11-9199.08|Troubleshooting
11-9199.09|Operations Monitoring
51-9151.00|Complex Problem Solving
53-2012.00|Operation and Control
53-4041.00|Speaking
53-4041.00|Service Orientation
53-7121.00|Learning Strategies
53-7121.00|Quality Control Analysis
51-5112.00|Judgment and Decision Making
51-6051.00|Coordination
51-6051.00|Time Management
51-9021.00|Monitoring
51-9022.00|Management of Material Resources
51-9141.00|Systems Evaluation
49-9096.00|Operations Monitoring
51-3011.00|Active Listening
51-3011.00|Equipment Selection
51-3021.00|Quality Control Analysis
51-4081.00|Equipment Maintenance
51-5111.00|Management of Personnel Resources
47-4091.00|Management of Financial Resources
49-3023.00|Reading Comprehension
49-3023.00|Social Perceptiveness
49-3031.00|Operation and Control
49-9043.00|Negotiation
49-9044.00|Repairing
45-3031.00|Equipment Maintenance
47-2021.00|Management of Personnel Resources
47-2044.00|Critical Thinking
47-4011.01|Writing
47-4011.01|Systems Analysis
47-4021.00|Monitoring
41-9011.00|Social Perceptiveness
43-3051.00|Negotiation
43-4151.00|Operations Monitoring
43-5011.01|Speaking
43-5111.00|Active Listening
43-9031.00|Mathematics
39-3091.00|Writing
39-3091.00|Systems Analysis
39-4021.00|Active Learning
39-4031.00|Management of Financial Resources
41-4012.00|Persuasion
41-9011.00|Reading Comprehension
33-3052.00|Learning Strategies
33-9011.00|Operations Analysis
35-2014.00|Instructing
35-2015.00|Critical Thinking
37-2012.00|Judgment and Decision Making
39-1013.00|Coordination
29-2011.01|Systems Evaluation
29-2011.02|Persuasion
29-2011.02|Complex Problem Solving
29-9099.01|Troubleshooting
31-2012.00|Speaking
31-2012.00|Service Orientation
29-1123.00|Programming
29-1124.00|Coordination
29-1124.00|Time Management
29-1141.00|Technology Design
29-1171.00|Active Learning
29-1229.02|Management of Material Resources
25-4011.00|Negotiation
25-4013.00|Service Orientation
27-2031.00|Learning Strategies
27-3011.00|Mathematics
27-4011.00|Instructing
29-1051.00|Judgment and Decision Making
25-1031.00|Management of Material Resources
25-1051.00|Management of Financial Resources
25-1067.00|Systems Evaluation
25-2022.00|Social Perceptiveness
25-2023.00|Operation and Control
25-2059.01|Science
19-2099.01|Mathematics
19-4099.01|Installation
19-4099.01|Programming
19-4099.03|Time Management
25-1021.00|Writing
25-1022.00|Monitoring
17-2199.06|Social Perceptiveness
17-2199.07|Operation and Control
17-3026.00|Negotiation
19-1029.01|Operations Monitoring
19-1031.03|Speaking
19-2041.00|Active Listening
15-1212.00|Installation
15-2051.01|Monitoring
17-1012.00|Active Learning
17-1021.00|Management of Financial Resources
17-2199.05|Persuasion
17-2199.06|Reading Comprehension
13-1023.00|Speaking
13-1023.00|Service Orientation
13-1051.00|Active Listening
13-2023.00|Operations Analysis
15-1211.00|Instructing
15-1211.01|Critical Thinking
11-3031.01|Programming
11-3051.00|Operations Monitoring
11-3071.04|Technology Design
11-9151.00|Monitoring
13-1031.00|Complex Problem Solving
13-1041.00|Judgment and Decision Making
53-2021.00|Monitoring
53-6031.00|Critical Thinking
53-7062.04|Operation and Control
51-5111.00|Management of Material Resources
51-6051.00|Active Listening
51-6092.00|Mathematics
51-8021.00|Operations Analysis
51-9022.00|Management of Personnel Resources
51-9081.00|Operations Monitoring
51-3011.00|Coordination
51-4023.00|Systems Analysis
51-4051.00|Management of Financial Resources
51-4081.00|Troubleshooting
51-4194.00|Speaking
51-4194.00|Service Orientation
49-3092.00|Learning Strategies
49-3092.00|Quality Control Analysis
49-9071.00|Critical Thinking
51-2021.00|Persuasion
51-2021.00|Complex Problem Solving
51-2023.00|Judgment and Decision Making
47-3011.00|Operations Analysis
47-4091.00|Instructing
47-4099.03|Science
47-5041.00|Repairing
49-3023.00|Technology Design
49-3053.00|Active Learning
43-5111.00|Time Management
45-3031.00|Troubleshooting
47-1011.03|Speaking
47-1011.03|Service Orientation
47-2021.00|Management of Material Resources
47-2111.00|Systems Evaluation
43-2011.00|Quality Control Analysis
43-4031.00|Monitoring
43-5021.00|Persuasion
43-5021.00|Complex Problem Solving
43-5032.00|Judgment and Decision Making
43-5111.00|Coordination
39-4031.00|Instructing
39-5012.00|Science
39-9041.00|Management of Personnel Resources
41-2022.00|Programming
41-9011.00|Technology Design
43-2011.00|Learning Strategies
33-9093.00|Negotiation
35-2014.00|Management of Financial Resources
35-9021.00|Systems Evaluation
39-1013.00|Active Listening
39-1013.00|Equipment Selection
39-3031.00|Social Perceptiveness
29-1141.00|Social Perceptiveness
29-1229.02|Management of Personnel Resources
29-1291.00|Operations Monitoring
31-9095.00|Critical Thinking
31-9097.00|Time Management
33-3012.00|Operation and Control
27-3041.00|Systems Analysis
27-4011.00|Management of Financial Resources
29-1124.00|Active Listening
29-1124.00|Equipment Selection
29-1129.02|Mathematics
29-1141.00|Reading Comprehension
25-1051.00|Instructing
25-2057.00|Active Learning
27-1027.00|Persuasion
27-2023.00|Coordination
27-3023.00|Negotiation
27-3041.00|Writing
19-2041.00|Time Management
19-3022.00|Systems Analysis
19-4042.00|Speaking
19-4042.00|Service Orientation
21-1015.00|Systems Evaluation
21-1021.00|Reading Comprehension
17-2199.06|Technology Design
17-3012.00|Active Learning
19-1032.00|Persuasion
19-1032.00|Complex Problem Solving
19-1042.00|Judgment and Decision Making
19-2041.00|Coordination
15-1243.01|Systems Evaluation
15-2031.00|Mathematics
15-2041.01|Social Perceptiveness
17-1021.00|Instructing
17-1022.01|Science
17-2131.00|Programming
13-1041.07|Critical Thinking
13-1051.00|Time Management
13-2071.00|Writing
13-2071.00|Service Orientation
13-2081.00|Management of Material Resources
15-1211.00|Management of Financial Resources
11-2021.00|Service Orientation
11-3031.03|Active Listening
11-3111.00|Judgment and Decision Making
11-9032.00|Programming
11-9033.00|Coordination
11-9199.01|Critical Thinking
53-7062.04|Systems Analysis
53-7073.00|Active Learning
51-9195.03|Programming
51-9195.04|Coordination
51-9198.00|Quality Control Analysis
53-3033.00|Instructing
53-5011.00|Management of Material Resources
53-6051.07|Time Management
51-8012.00|Learning Strategies
51-8021.00|Science
51-9011.00|Repairing
51-9012.00|Service Orientation
51-9161.00|Management of Personnel Resources
51-9162.00|Judgment and Decision Making
49-9095.00|Time Management
51-2022.00|Technology Design
51-4022.00|Social Perceptiveness
51-4023.00|Operation and Control
51-4194.00|Systems Evaluation
51-6052.00|Operations Monitoring
49-2093.00|Active Listening
49-2094.00|Quality Control Analysis
49-3021.00|Mathematics
49-9045.00|Writing
49-9051.00|Monitoring
49-9094.00|Installation
47-2061.00|Operations Monitoring
47-2111.00|Speaking
47-2142.00|Reading Comprehension
47-2171.00|Equipment Selection
47-5011.00|Equipment Maintenance
49-2021.00|Programming
43-4121.00|Critical Thinking
43-9041.00|Persuasion
43-9051.00|Social Perceptiveness
43-9111.00|Systems Analysis
45-2092.00|Management of Financial Resources
47-2053.00|Troubleshooting
39-5011.00|Learning Strategies
39-5012.00|Operations Analysis
41-2031.00|Active Listening
41-4011.07|Mathematics
43-1011.00|Coordination
43-3071.00|Writing
33-3051.04|Management of Financial Resources
35-2021.00|Troubleshooting
35-9021.00|Speaking
37-1012.00|Complex Problem Solving
37-2011.00|Reading Comprehension
39-3021.00|Negotiation
29-2035.00|Programming
29-9092.00|Instructing
29-9093.00|Critical Thinking
31-2022.00|Management of Material Resources
33-3012.00|Systems Analysis
33-3051.00|Active Learning
27-3031.00|Social Perceptiveness
29-1031.00|Complex Problem Solving
29-1181.00|Equipment Selection
29-1211.00|Learning Strategies
29-1215.00|Science
29-2012.00|Judgment and Decision Making
25-2058.00|Instructing
25-4013.00|Writing
25-4022.00|Monitoring
25-4031.00|Management of Material Resources
27-1014.00|Time Management
27-2022.00|Active Learning
25-1021.00|Service Orientation
25-1054.00|Equipment Maintenance
25-1071.00|Management of Personnel Resources
25-1121.00|Programming
25-1126.00|Quality Control Analysis
25-2012.00|Mathematics
19-3011.00|Persuasion
19-3011.01|Social Perceptiveness
19-3092.00|Management of Financial Resources
19-4042.00|Systems Evaluation
19-5011.00|Operations Monitoring
21-1015.00|Speaking
17-2141.00|Active Listening
17-2199.03|Mathematics
17-3013.00|Coordination
17-3027.00|Writing
17-3027.01|Monitoring
19-1022.00|Critical Thinking
15-1243.01|Speaking
15-1254.00|Reading Comprehension
15-2041.00|Negotiation
17-1022.00|Learning Strategies
17-1022.01|Operations Analysis
17-2072.00|Management of Personnel Resources
13-1032.00|Management of Material Resources
13-1111.00|Persuasion
13-1161.00|Systems Analysis
13-2011.00|Management of Financial Resources
15-1221.00|Troubleshooting
15-1231.00|Operations Monitoring
11-1021.00|Writing
11-2022.00|Complex Problem Solving
11-3031.00|Critical Thinking
11-3031.03|Time Management
11-3061.00|Speaking
11-9121.00|Social Perceptiveness
53-3033.00|Management of Financial Resources
53-5011.00|Management of Personnel Resources
53-6051.00|Operations Monitoring
53-6051.07|Active Listening
53-7051.00|Mathematics
53-7062.00|Reading Comprehension
51-9061.00|Critical Thinking
51-9071.06|Troubleshooting
51-9141.00|Speaking
51-9161.00|Management of Material Resources
53-1043.00|Social Perceptiveness
53-2012.00|Systems Analysis
51-4052.00|Learning Strategies
51-4062.00|Instructing
51-4072.00|Installation
51-6093.00|Persuasion
51-7011.00|Judgment and Decision Making
51-8011.00|Coordination
49-2093.00|Time Management
49-3031.00|Systems Analysis
49-3091.00|Management of Financial Resources
49-9061.00|Service Orientation
49-9095.00|Active Listening
51-2022.00|Reading Comprehension
47-2171.00|Coordination
47-2211.00|Active Learning
47-2231.00|Quality Control Analysis
47-5011.00|Troubleshooting
47-5043.00|Speaking
47-5071.00|Complex Problem Solving
45-2041.00|Learning Strategies
45-2092.00|Instructing
47-1011.00|Repairing
47-2011.00|Monitoring
47-2121.00|Persuasion
47-2132.00|Judgment and Decision Making
41-2031.00|Time Management
43-3061.00|Social Perceptiveness
43-4021.00|Service Orientation
43-5011.01|Systems Evaluation
43-5031.00|Management of Personnel Resources
43-5071.00|Programming
31-9099.02|Active Listening
33-2021.00|Mathematics
33-9099.02|Monitoring
39-3091.00|Operation and Control
39-7012.00|Writing
39-9032.00|Complex Problem Solving
29-2011.01|Speaking
29-2061.00|Social Perceptiveness
29-2081.00|Negotiation
29-2092.00|Systems Analysis
31-2012.00|Systems Evaluation
31-2022.00|Management of Personnel Resources
27-1026.00|Mathematics
27-4012.00|Learning Strategies
29-1131.00|Persuasion
29-1141.01|Operation and Control
29-1181.00|Coordination
29-1222.00|Writing
25-2021.00|Negotiation
25-2023.00|Systems Analysis
25-2058.00|Management of Financial Resources
25-2059.01|Operations Analysis
27-1012.00|Operations Monitoring
27-1014.00|Active Listening
21-1022.00|Judgment and Decision Making
21-2021.00|Active Learning
25-1052.00|Critical Thinking
25-1054.00|Troubleshooting
25-1067.00|Speaking
25-1071.00|Management of Material Resources
19-1031.03|Systems Evaluation
