
OccupationCode|EducationLevel
25-4031.00|Some College Courses
25-9031.00|Bachelor's Degree
25-9031.00|Master's Degree
25-9031.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
25-9044.00|Bachelor's Degree
25-9044.00|Master's Degree
27-1011.00|Associate's Degree (or other 2-year degree)
27-1011.00|Bachelor's Degree
27-1011.00|Master's Degree
27-1013.00|Bachelor's Degree
27-1014.00|High School Diploma - or the equivalent (for example, GED)
27-1021.00|Associate's Degree (or other 2-year degree)
27-1021.00|Bachelor's Degree
27-1021.00|Some College Courses
27-1022.00|Associate's Degree (or other 2-year degree)
27-1022.00|Bachelor's Degree
27-1022.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
27-1022.00|Some College Courses
27-1023.00|Bachelor's Degree
27-1023.00|High School Diploma - or the equivalent (for example, GED)
27-1023.00|Some College Courses
27-1026.00|Associate's Degree (or other 2-year degree)
27-1026.00|Bachelor's Degree
27-1026.00|High School Diploma - or the equivalent (for example, GED)
27-1026.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-1026.00|Some College Courses
27-2011.00|Bachelor's Degree
27-2011.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
27-2011.00|High School Diploma - or the equivalent (for example, GED)
27-2011.00|Less than a High School Diploma
27-2012.00|Associate's Degree (or other 2-year degree)
27-2012.00|Bachelor's Degree
27-2012.00|High School Diploma - or the equivalent (for example, GED)
27-2012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-2012.03|Associate's Degree (or other 2-year degree)
27-2012.03|Bachelor's Degree
27-2012.03|High School Diploma - or the equivalent (for example, GED)
27-2012.03|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-2012.04|Associate's Degree (or other 2-year degree)
27-2012.04|Bachelor's Degree
27-2012.04|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
27-2012.04|Master's Degree
27-2012.04|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
27-2012.04|Some College Courses
27-2012.05|Bachelor's Degree
27-2021.00|Associate's Degree (or other 2-year degree)
27-2021.00|Bachelor's Degree
27-2021.00|High School Diploma - or the equivalent (for example, GED)
27-2021.00|Less than a High School Diploma
27-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-2022.00|Associate's Degree (or other 2-year degree)
27-2022.00|Bachelor's Degree
27-2022.00|High School Diploma - or the equivalent (for example, GED)
27-2022.00|Master's Degree
27-2031.00|High School Diploma - or the equivalent (for example, GED)
27-2031.00|Less than a High School Diploma
27-2031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-2031.00|Some College Courses
27-2041.00|Associate's Degree (or other 2-year degree)
27-2041.00|Bachelor's Degree
27-2041.00|Doctoral Degree
27-2041.00|Less than a High School Diploma
27-2041.00|Master's Degree
27-2041.00|Some College Courses
27-2042.00|Bachelor's Degree
27-2042.00|Doctoral Degree
27-2042.00|High School Diploma - or the equivalent (for example, GED)
27-2042.00|Master's Degree
27-2042.00|Some College Courses
27-3011.00|Associate's Degree (or other 2-year degree)
27-3011.00|Bachelor's Degree
27-3011.00|High School Diploma - or the equivalent (for example, GED)
27-3011.00|Less than a High School Diploma
27-3011.00|Master's Degree
27-3011.00|Some College Courses
27-3041.00|Bachelor's Degree
27-3041.00|Master's Degree
27-3042.00|Associate's Degree (or other 2-year degree)
27-3042.00|Bachelor's Degree
27-3042.00|Master's Degree
27-3042.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-3042.00|Some College Courses
27-3043.00|Associate's Degree (or other 2-year degree)
27-3091.00|Bachelor's Degree
27-3091.00|High School Diploma - or the equivalent (for example, GED)
27-3091.00|Master's Degree
27-3092.00|Associate's Degree (or other 2-year degree)
27-3092.00|High School Diploma - or the equivalent (for example, GED)
27-3092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-3092.00|Some College Courses
27-4011.00|Associate's Degree (or other 2-year degree)
27-4011.00|Bachelor's Degree
27-4011.00|High School Diploma - or the equivalent (for example, GED)
27-4011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-4012.00|Associate's Degree (or other 2-year degree)
27-4012.00|High School Diploma - or the equivalent (for example, GED)
27-4012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
27-4012.00|Some College Courses
27-4031.00|Associate's Degree (or other 2-year degree)
27-4031.00|Bachelor's Degree
27-4031.00|High School Diploma - or the equivalent (for example, GED)
27-4031.00|Some College Courses
27-4032.00|Associate's Degree (or other 2-year degree)
27-4032.00|Bachelor's Degree
27-4032.00|High School Diploma - or the equivalent (for example, GED)
29-1011.00|Doctoral Degree
29-1011.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1021.00|Associate's Degree (or other 2-year degree)
29-1021.00|Doctoral Degree
29-1021.00|Master's Degree
29-1021.00|Some College Courses
29-1022.00|Doctoral Degree
29-1022.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1022.00|Post-Doctoral Training
29-1023.00|Doctoral Degree
29-1023.00|Post-Doctoral Training
29-1024.00|Doctoral Degree
29-1024.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1024.00|Post-Doctoral Training
29-1051.00|Bachelor's Degree
29-1051.00|Doctoral Degree
29-1051.00|Post-Doctoral Training
29-1071.01|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1071.01|High School Diploma - or the equivalent (for example, GED)
29-1071.01|Master's Degree
29-1071.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1081.00|Doctoral Degree
29-1081.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1081.00|Post-Doctoral Training
29-1123.00|Associate's Degree (or other 2-year degree)
29-1123.00|Bachelor's Degree
29-1123.00|Doctoral Degree
29-1123.00|Master's Degree
29-1124.00|Associate's Degree (or other 2-year degree)
29-1124.00|Bachelor's Degree
29-1124.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1126.00|Associate's Degree (or other 2-year degree)
29-1126.00|Bachelor's Degree
29-1126.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1127.00|Master's Degree
29-1127.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
29-1131.00|Doctoral Degree
29-1131.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1131.00|Post-Doctoral Training
29-1141.00|Associate's Degree (or other 2-year degree)
29-1141.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1211.00|Doctoral Degree
29-1211.00|Post-Doctoral Training
29-1213.00|Associate's Degree (or other 2-year degree)
29-1213.00|Doctoral Degree
29-1213.00|Post-Doctoral Training
29-1215.00|Master's Degree
29-1215.00|Post-Doctoral Training
29-1216.00|Doctoral Degree
29-1216.00|Post-Doctoral Training
29-1217.00|Doctoral Degree
29-1217.00|Post-Doctoral Training
29-1218.00|Doctoral Degree
29-1218.00|Post-Doctoral Training
29-1221.00|Doctoral Degree
29-1221.00|Post-Doctoral Training
29-1222.00|Doctoral Degree
29-1222.00|Master's Degree
29-1222.00|Post-Doctoral Training
29-1223.00|Doctoral Degree
29-1223.00|Master's Degree
29-1223.00|Post-Doctoral Training
29-1224.00|Bachelor's Degree
29-1224.00|Doctoral Degree
29-1224.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1224.00|Post-Doctoral Training
29-1229.01|Doctoral Degree
29-1229.01|High School Diploma - or the equivalent (for example, GED)
29-1229.01|Master's Degree
29-1229.01|Post-Doctoral Training
29-1229.03|Doctoral Degree
29-1229.03|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1229.03|Post-Doctoral Training
29-1229.04|Doctoral Degree
29-1229.04|Post-Doctoral Training
29-1241.00|Doctoral Degree
29-1241.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1241.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-1241.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-1291.00|Doctoral Degree
29-1291.00|Master's Degree
29-1292.00|Associate's Degree (or other 2-year degree)
29-1292.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-1292.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-2011.00|Associate's Degree (or other 2-year degree)
29-2011.00|Bachelor's Degree
29-2011.00|Master's Degree
29-2012.00|Associate's Degree (or other 2-year degree)
29-2012.00|Bachelor's Degree
29-2012.00|Master's Degree
29-2012.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-2031.00|Associate's Degree (or other 2-year degree)
29-2031.00|High School Diploma - or the equivalent (for example, GED)
29-2031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2031.00|Some College Courses
29-2032.00|Associate's Degree (or other 2-year degree)
29-2032.00|Bachelor's Degree
29-2032.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
29-2032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2033.00|Associate's Degree (or other 2-year degree)
29-2033.00|Bachelor's Degree
29-2033.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-2034.00|Associate's Degree (or other 2-year degree)
29-2034.00|Bachelor's Degree
29-2034.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2051.00|Associate's Degree (or other 2-year degree)
29-2051.00|Bachelor's Degree
29-2051.00|High School Diploma - or the equivalent (for example, GED)
29-2051.00|Less than a High School Diploma
29-2051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2051.00|Some College Courses
29-2052.00|High School Diploma - or the equivalent (for example, GED)
29-2052.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2052.00|Some College Courses
29-2053.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-2055.00|Associate's Degree (or other 2-year degree)
29-2055.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2055.00|Some College Courses
29-2056.00|Associate's Degree (or other 2-year degree)
29-2056.00|Doctoral Degree
29-2056.00|High School Diploma - or the equivalent (for example, GED)
29-2056.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2056.00|Some College Courses
29-2061.00|Associate's Degree (or other 2-year degree)
29-2061.00|Bachelor's Degree
29-2061.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2061.00|Some College Courses
29-2092.00|Associate's Degree (or other 2-year degree)
29-2092.00|Doctoral Degree
29-2092.00|High School Diploma - or the equivalent (for example, GED)
29-2092.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-2092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2099.08|Associate's Degree (or other 2-year degree)
29-2099.08|Bachelor's Degree
29-2099.08|High School Diploma - or the equivalent (for example, GED)
29-2099.08|Master's Degree
29-2099.08|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-2099.08|Some College Courses
29-9091.00|Bachelor's Degree
29-9091.00|High School Diploma - or the equivalent (for example, GED)
29-9091.00|Master's Degree
29-9093.00|Associate's Degree (or other 2-year degree)
29-9093.00|Bachelor's Degree
29-9093.00|High School Diploma - or the equivalent (for example, GED)
29-9093.00|Master's Degree
29-9093.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-9093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-9093.00|Some College Courses
29-9099.01|Bachelor's Degree
29-9099.01|Master's Degree
29-9099.01|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
29-9099.01|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
29-9099.01|Some College Courses
31-1121.00|Associate's Degree (or other 2-year degree)
31-1121.00|High School Diploma - or the equivalent (for example, GED)
31-1121.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-1121.00|Some College Courses
31-1122.00|High School Diploma - or the equivalent (for example, GED)
31-1122.00|Less than a High School Diploma
31-1122.00|Master's Degree
31-1122.00|Some College Courses
31-1131.00|Associate's Degree (or other 2-year degree)
31-1131.00|Bachelor's Degree
31-1131.00|High School Diploma - or the equivalent (for example, GED)
31-1131.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-1131.00|Some College Courses
31-1132.00|High School Diploma - or the equivalent (for example, GED)
31-1132.00|Less than a High School Diploma
31-1133.00|Bachelor's Degree
31-1133.00|High School Diploma - or the equivalent (for example, GED)
31-1133.00|Some College Courses
31-2011.00|Associate's Degree (or other 2-year degree)
31-2011.00|Some College Courses
31-2012.00|High School Diploma - or the equivalent (for example, GED)
31-2012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-2012.00|Some College Courses
31-2021.00|Associate's Degree (or other 2-year degree)
31-2021.00|Bachelor's Degree
31-2022.00|Associate's Degree (or other 2-year degree)
31-2022.00|Bachelor's Degree
31-2022.00|High School Diploma - or the equivalent (for example, GED)
31-2022.00|Less than a High School Diploma
31-2022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-2022.00|Some College Courses
31-9091.00|Associate's Degree (or other 2-year degree)
31-9091.00|High School Diploma - or the equivalent (for example, GED)
31-9091.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-9091.00|Some College Courses
31-9092.00|Bachelor's Degree
31-9092.00|High School Diploma - or the equivalent (for example, GED)
31-9092.00|Some College Courses
31-9093.00|Bachelor's Degree
31-9093.00|High School Diploma - or the equivalent (for example, GED)
31-9093.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-9094.00|Associate's Degree (or other 2-year degree)
31-9094.00|High School Diploma - or the equivalent (for example, GED)
31-9094.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-9094.00|Some College Courses
31-9095.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-9095.00|Some College Courses
31-9096.00|High School Diploma - or the equivalent (for example, GED)
31-9096.00|Less than a High School Diploma
31-9096.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
31-9099.01|Bachelor's Degree
31-9099.01|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
33-1011.00|Associate's Degree (or other 2-year degree)
33-1011.00|Bachelor's Degree
33-1011.00|High School Diploma - or the equivalent (for example, GED)
33-1011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-1012.00|Associate's Degree (or other 2-year degree)
33-1012.00|Bachelor's Degree
33-1012.00|High School Diploma - or the equivalent (for example, GED)
33-1012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-1012.00|Some College Courses
33-1021.00|Associate's Degree (or other 2-year degree)
33-1021.00|Bachelor's Degree
33-1021.00|High School Diploma - or the equivalent (for example, GED)
33-1021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-1021.00|Some College Courses
33-2011.00|Associate's Degree (or other 2-year degree)
33-2011.00|High School Diploma - or the equivalent (for example, GED)
33-2011.00|Less than a High School Diploma
33-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-2011.00|Some College Courses
33-2021.00|Associate's Degree (or other 2-year degree)
33-2021.00|High School Diploma - or the equivalent (for example, GED)
33-2021.00|Less than a High School Diploma
33-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-2021.00|Some College Courses
33-2022.00|Associate's Degree (or other 2-year degree)
33-2022.00|Bachelor's Degree
33-2022.00|High School Diploma - or the equivalent (for example, GED)
33-2022.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-2022.00|Some College Courses
33-3011.00|High School Diploma - or the equivalent (for example, GED)
33-3011.00|Less than a High School Diploma
33-3011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3012.00|High School Diploma - or the equivalent (for example, GED)
33-3012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3021.00|Associate's Degree (or other 2-year degree)
33-3021.00|Bachelor's Degree
33-3021.00|High School Diploma - or the equivalent (for example, GED)
33-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3021.00|Some College Courses
33-3021.02|Associate's Degree (or other 2-year degree)
33-3021.02|Master's Degree
33-3021.02|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3031.00|Bachelor's Degree
33-3031.00|High School Diploma - or the equivalent (for example, GED)
33-3041.00|High School Diploma - or the equivalent (for example, GED)
33-3051.00|Associate's Degree (or other 2-year degree)
33-3051.00|Bachelor's Degree
33-3051.00|High School Diploma - or the equivalent (for example, GED)
33-3051.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3051.00|Some College Courses
33-3051.04|Associate's Degree (or other 2-year degree)
33-3051.04|Bachelor's Degree
33-3051.04|High School Diploma - or the equivalent (for example, GED)
33-3051.04|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3051.04|Some College Courses
33-3052.00|Associate's Degree (or other 2-year degree)
33-3052.00|Bachelor's Degree
33-3052.00|High School Diploma - or the equivalent (for example, GED)
33-3052.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-3052.00|Some College Courses
33-9011.00|Associate's Degree (or other 2-year degree)
33-9011.00|High School Diploma - or the equivalent (for example, GED)
33-9011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-9021.00|Associate's Degree (or other 2-year degree)
33-9021.00|Bachelor's Degree
33-9021.00|High School Diploma - or the equivalent (for example, GED)
33-9021.00|Some College Courses
33-9031.00|Associate's Degree (or other 2-year degree)
33-9031.00|High School Diploma - or the equivalent (for example, GED)
33-9031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-9032.00|High School Diploma - or the equivalent (for example, GED)
33-9032.00|Some College Courses
33-9091.00|High School Diploma - or the equivalent (for example, GED)
33-9091.00|Less than a High School Diploma
33-9091.00|Some College Courses
33-9092.00|Associate's Degree (or other 2-year degree)
33-9092.00|High School Diploma - or the equivalent (for example, GED)
33-9092.00|Less than a High School Diploma
33-9092.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
33-9092.00|Some College Courses
33-9099.02|Associate's Degree (or other 2-year degree)
33-9099.02|Bachelor's Degree
33-9099.02|High School Diploma - or the equivalent (for example, GED)
33-9099.02|Less than a High School Diploma
35-1012.00|Associate's Degree (or other 2-year degree)
35-1012.00|High School Diploma - or the equivalent (for example, GED)
35-1012.00|Less than a High School Diploma
35-1012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
35-2011.00|High School Diploma - or the equivalent (for example, GED)
35-2011.00|Less than a High School Diploma
35-2012.00|Bachelor's Degree
35-2012.00|High School Diploma - or the equivalent (for example, GED)
35-2012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
35-2012.00|Some College Courses
35-2014.00|High School Diploma - or the equivalent (for example, GED)
35-2014.00|Less than a High School Diploma
35-2014.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
35-2014.00|Some College Courses
35-2015.00|High School Diploma - or the equivalent (for example, GED)
35-2015.00|Less than a High School Diploma
35-2015.00|Some College Courses
35-2021.00|High School Diploma - or the equivalent (for example, GED)
35-2021.00|Less than a High School Diploma
35-2021.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
35-3011.00|High School Diploma - or the equivalent (for example, GED)
35-3011.00|Less than a High School Diploma
35-3011.00|Some College Courses
35-3023.00|High School Diploma - or the equivalent (for example, GED)
35-3023.00|Less than a High School Diploma
35-3023.00|Some College Courses
35-3023.01|Bachelor's Degree
